TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
T-1001,2026-07-01,Laptop,Electronics,North,Online,1,55000.00,55000.00,UPI,C-501
T-1002,2026-07-01,Headphones,Electronics,West,Offline,2,2500.00,5000.00,Cash,C-502
T-1003,2026-07-02,Shirt,Apparel,East,Online,3,800.00,2400.00,"Credit Card",C-503
T-1004,2026-07-02,"Coffee Maker","Home Decor",South,Offline,1,3500.00,3500.00,"Net Banking",C-504
T-1005,2026-07-03,"Running Shoes",Footwear,North,Online,1,4200.00,4200.00,UPI,C-505
T-1006,2026-07-03,"Desk Lamp","Home Decor",West,Online,2,1200.00,2400.00,"Credit Card",C-506
T-1007,2026-07-04,Smartphone,Electronics,East,Online,1,25000.00,25000.00,"Net Banking",C-507
T-1008,2026-07-04,Jeans,Apparel,South,Offline,2,1500.00,3000.00,Cash,C-508
T-1009,2026-07-05,"Water Bottle",Accessories,North,Offline,5,300.00,1500.00,UPI,C-509
T-1010,2026-07-05,Backpack,Accessories,West,Online,1,1800.00,1800.00,"Credit Card",C-510
T-1011,2026-07-06,"Bluetooth Speaker",Electronics,East,Offline,1,3000.00,3000.00,Cash,C-511
T-1012,2026-07-06,T-Shirt,Apparel,South,Online,4,500.00,2000.00,UPI,C-512
T-1013,2026-07-07,"Wall Clock","Home Decor",North,Online,1,900.00,900.00,"Net Banking",C-513
T-1014,2026-07-07,Watch,Accessories,West,Offline,1,4500.00,4500.00,"Credit Card",C-514
T-1015,2026-07-08,Keyboard,Electronics,East,Online,1,1200.00,1200.00,UPI,C-515
T-1016,2026-07-08,Socks,Apparel,South,Offline,3,200.00,600.00,Cash,C-516
T-1017,2026-07-09,Mouse,Electronics,Online,North,2,600.00,1200.00,"Credit Card",C-517
T-1018,2026-07-09,Sunglasses,Accessories,West,Online,1,2000.00,2000.00,"Net Banking",C-518
T-1019,2026-07-10,Toaster,"Home Decor",East,Offline,1,2200.00,2200.00,UPI,C-519
T-1020,2026-07-10,"Formal Shoes",Footwear,South,Online,1,3000.00,3000.00,"Credit Card",C-520
T-1021,2026-07-11,Tablet,Electronics,North,Online,1,20000.00,20000.00,UPI,C-521
T-1022,2026-07-11,Jacket,Apparel,West,Offline,1,2500.00,2500.00,Cash,C-522
T-1023,2026-07-12,Curtains,"Home Decor",East,Online,2,1200.00,2400.00,"Credit Card",C-523
T-1024,2026-07-12,Belt,Accessories,South,Offline,1,500.00,500.00,"Net Banking",C-524
T-1025,2026-07-13,Sandals,Footwear,North,Online,2,800.00,1600.00,UPI,C-525
T-1026,2026-07-13,Monitor,Electronics,West,Online,1,12000.00,12000.00,"Credit Card",C-526
T-1027,2026-07-14,"Mixer Grinder","Home Decor",East,Offline,1,3200.00,3200.00,Cash,C-527
T-1028,2026-07-14,Sweater,Apparel,South,Online,1,1500.00,1500.00,"Net Banking",C-528
T-1029,2026-07-15,"Yoga Mat",Accessories,North,Offline,1,700.00,700.00,UPI,C-529
T-1030,2026-07-15,Printer,Electronics,West,Online,1,9500.00,9500.00,"Credit Card",C-530
T-1031,2026-07-16,Pillow,"Home Decor",East,Offline,2,400.00,800.00,Cash,C-531
T-1032,2026-07-16,Sneakers,Footwear,South,Online,1,3500.00,3500.00,UPI,C-532
T-1033,2026-07-17,Wallet,Accessories,North,Online,1,1200.00,1200.00,"Net Banking",C-533
T-1034,2026-07-17,"Formal Shirt",Apparel,West,Offline,2,1100.00,2200.00,"Credit Card",C-534
